site,url
linkedin,https://www.linkedin.com/in/mariagrandury
x,mariagrandury
github,mariagrandury
mastodon,mariagrandury
huggingface,https://huggingface.co/mariagrandury
youtube,https://www.youtube.com/@mariagrandury
google scholar,https://scholar.google.es/citations?hl=es-ES&user=3mc_-QsAAAAJ
semantic scholar,https://www.semanticscholar.org/author/2176184513
orcid,http://orcid.org/0009-0009-4703-3348
scopus,https://www.scopus.com/authid/detail.uri?authorId=57576562300&origin=inward&txGid
acl anthology,https://aclanthology.org/people/maria-grandury/
research gate,https://www.researchgate.net/scientific-contributions/Maria-Grandury-2218419444
wikipedia,https://es.wikipedia.org/wiki/Mar%C3%ADa_Grandury
web of science,https://www.webofscience.com/wos/author/record/PKQ-8059-2026
upm,https://portalcientifico.upm.es/es/ipublic/researcher/337642
epfl,https://people.epfl.ch/maria.grandury
uned,https://www.uned.es/universidad/docentes/informatica/maria-aurora-grandury-gonzalez.html
somosnlp,https://somosnlp.org/comunidad/maria-grandury
